"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.506052260E-1,-7.131805420E-1,9.636428833E0,-8.555755615E0
9.556406270E-1,-7.127990723E-1,9.650100708E0,-8.550567627E0
9.606760270E-1,-7.127380371E-1,9.644119263E0,-8.534927368E0
9.657114270E-1,-7.091217041E-1,9.652420044E0,-8.569061279E0
9.707468280E-1,-7.350921631E-1,9.616241455E0,-8.549133301E0
9.757822280E-1,-7.231292725E-1,9.618637085E0,-8.535568237E0
9.808176280E-1,-7.114257812E-1,9.638504028E0,-8.527359009E0
9.858530290E-1,-6.908569336E-1,9.639022827E0,-8.571243286E0
9.908884290E-1,-6.928863525E-1,9.604232788E0,-8.623413086E0
9.959238300E-1,-6.827392578E-1,9.606765747E0,-8.605987549E0
1.000959230E0,-7.191925049E-1,9.629104614E0,-8.613952637E0
1.005994630E0,-6.979827881E-1,9.659332275E0,-8.549468994E0
1.011030031E0,-6.783905029E-1,9.644088745E0,-8.553390503E0
1.016065431E0,-6.853179932E-1,9.633392334E0,-8.584320068E0
1.021100832E0,-7.097930908E-1,9.647064209E0,-8.537521362E0
1.026136232E0,-7.133178711E-1,9.642761230E0,-8.545013428E0
1.031171632E0,-6.609802246E-1,9.650894165E0,-8.580413818E0
1.036207033E0,-6.640777588E-1,9.665328979E0,-8.607238770E0
1.041242433E0,-6.545410156E-1,9.653686523E0,-8.547760010E0
1.046277834E0,-6.389312744E-1,9.639968872E0,-8.568923950E0
1.051313234E0,-6.494140625E-1,9.658615112E0,-8.571502686E0
1.056348634E0,-6.662750244E-1,9.615158081E0,-8.575469971E0
1.061384035E0,-6.654205322E-1,9.635559082E0,-8.584625244E0
1.066419435E0,-6.367645264E-1,9.636337280E0,-8.550567627E0
1.071454836E0,-6.192321777E-1,9.625137329E0,-8.615570068E0
1.076490236E0,-6.453857422E-1,9.643554688E0,-8.564208984E0
1.081525636E0,-6.502838135E-1,9.651153564E0,-8.540710449E0
1.086561037E0,-6.419982910E-1,9.668411255E0,-8.559448242E0
1.091596437E0,-6.094207764E-1,9.610244751E0,-8.604309082E0
1.096631837E0,-6.429443359E-1,9.664962769E0,-8.559600830E0
1.101667238E0,-5.882110596E-1,9.619934082E0,-8.570037842E0
1.106702638E0,-6.028747559E-1,9.628860474E0,-8.589324951E0
1.111738039E0,-6.529693604E-1,9.654342651E0,-8.547531128E0
1.116773439E0,-6.727752686E-1,9.650009155E0,-8.471145630E0
1.121808839E0,-6.056976318E-1,9.627380371E0,-8.531097412E0
1.126844240E0,-6.584014893E-1,9.634567261E0,-8.648040771E0
1.131879640E0,-6.217041016E-1,9.632904053E0,-8.576599121E0
1.136915041E0,-5.669555664E-1,9.630493164E0,-8.553802490E0
1.141950441E0,-6.196441650E-1,9.646453857E0,-8.532348633E0
1.146985841E0,-5.752868652E-1,9.623840332E0,-8.475830078E0
1.152021242E0,-6.161804199E-1,9.618576050E0,-8.458068848E0
1.157056642E0,-5.649261475E-1,9.646881104E0,-8.635208130E0
1.162092043E0,-5.836334229E-1,9.637542725E0,-8.526809692E0
1.167127443E0,-5.249176025E-1,9.654113770E0,-8.540359497E0
1.172162843E0,-5.871276855E-1,9.646835327E0,-8.481582642E0
1.177198244E0,-5.221252441E-1,9.634796143E0,-8.480117798E0
1.182233644E0,-6.082611084E-1,9.624908447E0,-8.436401367E0
1.187269044E0,-5.656433105E-1,9.667251587E0,-8.502349854E0
1.192304445E0,-5.366973877E-1,9.639389038E0,-8.539505005E0
1.197339845E0,-5.487365723E-1,9.632476807E0,-8.510437012E0
1.202375246E0,-5.614013672E-1,9.660125732E0,-8.485580444E0
1.207410646E0,-5.785980225E-1,9.645248413E0,-8.536331177E0
1.212446046E0,-5.503234863E-1,9.648773193E0,-8.530014038E0
1.217481447E0,-5.759887695E-1,9.625274658E0,-8.470092773E0
1.222516847E0,-5.942077637E-1,9.680999756E0,-8.493774414E0
1.227552248E0,-5.944061279E-1,9.626907349E0,-8.482330322E0
1.232587648E0,-5.341949463E-1,9.621124268E0,-8.527633667E0
1.237623048E0,-5.563507080E-1,9.642791748E0,-8.551559448E0
1.242658449E0,-5.649414062E-1,9.659988403E0,-8.551696777E0
1.247693849E0,-5.626220703E-1,9.649642944E0,-8.518524170E0
1.252729250E0,-5.414581299E-1,9.639053345E0,-8.533004761E0
1.257764650E0,-5.582733154E-1,9.647872925E0,-8.497711182E0
1.262800050E0,-5.605163574E-1,9.648010254E0,-8.473327637E0
1.267835451E0,-5.567474365E-1,9.625900269E0,-8.478302002E0
1.272870851E0,-5.727233887E-1,9.611724854E0,-8.477706909E0
1.277906252E0,-5.615539551E-1,9.635238647E0,-8.495040894E0
1.282941652E0,-5.433502197E-1,9.648254395E0,-8.511154175E0
1.287977052E0,-5.569915771E-1,9.659194946E0,-8.515975952E0
1.293012453E0,-5.744934082E-1,9.645751953E0,-8.521865845E0
1.298047853E0,-5.842132568E-1,9.623336792E0,-8.527465820E0
1.303083253E0,-5.805358887E-1,9.614898682E0,-8.503143311E0
1.308118654E0,-5.583190918E-1,9.622650146E0,-8.441345215E0
1.313154054E0,-5.767211914E-1,9.657470703E0,-8.453414917E0
1.318189455E0,-6.656646729E-1,9.649307251E0,-8.548416138E0
1.323224855E0,-6.516723633E-1,9.634292603E0,-8.611709595E0
1.328260255E0,-6.355438232E-1,9.689270020E0,-8.639495850E0
1.333295656E0,-5.747985840E-1,9.643218994E0,-8.526351929E0
1.338331056E0,-5.772247314E-1,9.628051758E0,-8.572235107E0
1.343366457E0,-6.294097900E-1,9.653869629E0,-8.601379395E0
