"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.197339845E0,-8.850097656E-4,1.904296875E-2,4.699707031E-3
1.202375246E0,-2.960205078E-3,1.934814453E-2,3.616333008E-3
1.207410646E0,-4.028320312E-3,2.313232422E-2,2.624511719E-3
1.212446046E0,-4.913330078E-3,2.078247070E-2,2.532958984E-3
1.217481447E0,-3.845214844E-3,1.669311523E-2,1.556396484E-3
1.222516847E0,-3.112792969E-3,1.512145996E-2,1.449584961E-3
1.227552248E0,-5.004882812E-3,1.797485352E-2,3.662109375E-4
1.232587648E0,-4.882812500E-3,1.783752441E-2,-5.798339844E-4
1.237623048E0,-3.936767578E-3,1.675415039E-2,-5.798339844E-4
1.242658449E0,-3.936767578E-3,1.597595215E-2,-5.798339844E-4
1.247693849E0,-4.104614258E-3,1.705932617E-2,-5.798339844E-4
1.252729250E0,-4.669189453E-3,1.797485352E-2,-5.798339844E-4
1.257764650E0,-2.868652344E-3,1.760864258E-2,-5.798339844E-4
1.262800050E0,-3.067016602E-3,1.583862305E-2,-7.629394531E-4
1.267835451E0,-4.150390625E-3,1.623535156E-2,-1.647949219E-3
1.272870851E0,-4.806518555E-3,1.797485352E-2,-1.434326172E-3
1.277906252E0,-3.723144531E-3,1.797485352E-2,-5.798339844E-4
1.282941652E0,-2.868652344E-3,1.750183105E-2,-5.798339844E-4
1.287977052E0,-2.868652344E-3,1.631164551E-2,-5.798339844E-4
1.293012453E0,-2.624511719E-3,1.797485352E-2,-3.204345703E-4
1.298047853E0,-1.800537109E-3,1.719665527E-2,4.882812500E-4
1.303083253E0,-1.541137695E-3,1.449584961E-2,7.629394531E-4
1.308118654E0,-7.324218750E-4,1.425170898E-2,1.556396484E-3
1.313154054E0,-1.327514648E-3,1.641845703E-2,1.861572266E-3
1.318189455E0,-3.479003906E-3,1.856994629E-2,2.029418945E-3
1.323224855E0,-3.768920898E-3,1.762390137E-2,4.882812500E-4
1.328260255E0,-1.052856445E-3,9.994506836E-3,4.882812500E-4
1.333295656E0,-2.136230469E-3,7.827758789E-3,-1.525878906E-4
1.338331056E0,-3.540039062E-3,1.321411133E-2,-2.639770508E-3
1.343366457E0,-4.669189453E-3,1.521301270E-2,-4.501342773E-3
1.348401857E0,-3.265380859E-3,9.155273438E-3,-3.784179688E-3
1.353437257E0,-2.166748047E-3,4.806518555E-3,-4.501342773E-3
1.358472658E0,-3.616333008E-3,9.552001953E-3,-5.920410156E-3
1.363508058E0,-4.638671875E-3,1.545715332E-2,-6.286621094E-3
1.368543459E0,-3.158569336E-3,1.124572754E-2,-6.591796875E-3
1.373578859E0,-1.800537109E-3,3.952026367E-3,-6.317138672E-3
1.378614259E0,-2.624511719E-3,4.409790039E-3,-6.988525391E-3
1.383649660E0,-3.936767578E-3,1.086425781E-2,-6.988525391E-3
1.388685060E0,-3.082275391E-3,1.390075684E-2,-6.988525391E-3
1.393720461E0,-1.800537109E-3,1.043701172E-2,-6.988525391E-3
1.398755861E0,-9.155273438E-4,6.835937500E-3,-7.431030273E-3
1.403791261E0,-1.373291016E-4,7.141113281E-3,-8.514404297E-3
1.408826662E0,-7.324218750E-4,7.888793945E-3,-8.651733398E-3
1.413862062E0,-1.220703125E-3,7.766723633E-3,-8.056640625E-3
1.418897462E0,-1.800537109E-3,9.338378906E-3,-8.544921875E-3
1.423932863E0,-1.800537109E-3,1.049804688E-2,-9.124755859E-3
1.428968263E0,-1.296997070E-3,8.972167969E-3,-8.102416992E-3
1.434003664E0,2.899169922E-4,6.774902344E-3,-6.469726562E-3
1.439039064E0,3.356933594E-4,6.225585938E-3,-6.973266602E-3
1.444074464E0,-7.324218750E-4,7.827758789E-3,-8.590698242E-3
1.449109865E0,-1.983642578E-4,9.429931641E-3,-8.575439453E-3
1.454145265E0,8.850097656E-4,8.316040039E-3,-8.056640625E-3
1.459180666E0,1.953125000E-3,6.164550781E-3,-8.056640625E-3
1.464216066E0,7.476806641E-4,6.286621094E-3,-8.056640625E-3
1.469251466E0,-7.324218750E-4,6.713867188E-3,-8.621215820E-3
1.474286867E0,-1.525878906E-4,5.035400391E-3,-9.124755859E-3
1.479322267E0,3.356933594E-4,5.279541016E-3,-9.124755859E-3
1.484357668E0,3.356933594E-4,6.225585938E-3,-1.033020020E-2
1.489393068E0,3.356933594E-4,5.599975586E-3,-1.126098633E-2
