"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.449740173E0;4.710376263E-3;5.489146337E-3;7.122993469E-3
2.467779418E0;1.292580366E-2;2.664711792E-3;8.739471436E-3
2.485818908E0;1.286607981E-2;-5.816714372E-3;2.605438232E-3
2.503858032E0;6.591856480E-3;-7.700221613E-4;2.819061279E-3
2.521909363E0;6.220281124E-3;3.251842689E-3;-1.106262207E-4
2.539934814E0;9.303927422E-3;1.543194987E-3;-2.325057983E-3
2.557978882E0;5.772888660E-3;5.282389000E-3;6.765365601E-3
2.576021363E0;1.427453756E-2;2.654274460E-3;8.688926697E-3
2.594059142E0;1.083123684E-2;5.150211975E-3;4.950523376E-3
2.612101562E0;9.374082088E-3;7.236909587E-4;3.229141235E-3
2.630140137E0;7.747173309E-3;-2.136487048E-3;4.735946655E-3
2.648174499E0;7.361233234E-3;-2.402599435E-3;-2.722740173E-3
2.666218506E0;1.193809509E-2;-4.350906704E-3;-4.949569702E-3
2.684257263E0;9.604871273E-3;1.426900504E-3;6.401062012E-3
2.702299255E0;4.256665707E-3;2.376446966E-3;2.739906311E-3
2.720336182E0;9.468615055E-3;2.438012278E-3;1.060485840E-3
2.738372681E0;5.993306637E-3;-3.369347425E-3;6.242752075E-3
2.756400024E0;9.103894234E-3;3.275966505E-3;2.619743347E-3
2.774454101E0;6.241321564E-3;-6.292364560E-4;4.697799683E-3
2.792496887E0;6.405711174E-3;3.454658436E-3;4.371643066E-3
2.810535767E0;7.938146591E-3;-4.665849265E-4;1.618385315E-3
2.828569824E0;8.600234985E-3;-3.129587043E-3;3.330230713E-3
2.846614746E0;1.156175137E-2;-4.818746820E-4;-1.247406006E-3
2.864651184E0;9.877204895E-3;-3.552541835E-3;-5.849838257E-3
2.882694702E0;7.468760014E-3;1.119349734E-3;5.537986755E-3
2.900734192E0;8.653521538E-3;-8.267131052E-4;3.183364868E-3
2.918767883E0;6.710231304E-3;-8.689879905E-5;1.700401306E-3
2.936812622E0;1.177859306E-2;-9.150595404E-3;3.903388977E-3
2.954846253E0;8.540332317E-3;1.913383137E-3;2.885818481E-3
2.972891174E0;2.726197243E-3;8.460776880E-4;4.143714905E-3
2.990928528E0;7.872343063E-3;-1.608165912E-4;1.129913330E-2
3.008962769E0;5.267083645E-3;6.388441194E-3;8.081436157E-3
3.027002686E0;-1.292288303E-3;1.021066448E-3;4.283905029E-3
3.045047913E0;5.412817001E-3;4.839151166E-3;-5.787849426E-3
3.063089111E0;-2.312660217E-5;-1.710636425E-3;2.268791199E-3
3.081131103E0;8.392155170E-3;5.162630230E-3;-1.314163208E-3
3.099166687E0;7.924914360E-3;1.803998020E-3;3.203392029E-3
3.117202697E0;1.039165258E-2;4.662852734E-5;8.931159973E-3
3.135246216E0;1.498544216E-2;6.016613450E-3;-4.954338074E-3
3.153285217E0;1.024162769E-2;5.779100582E-3;-2.269744873E-4
3.171328125E0;1.043707132E-2;4.055092111E-3;4.960060120E-3
3.189367126E0;1.154941320E-2;3.655523760E-4;-1.893043518E-3
3.207406066E0;7.696747780E-3;4.544171505E-3;1.783370972E-3
3.225433715E0;1.264429092E-2;5.264393985E-3;4.959106445E-3
3.243484375E0;1.069504023E-2;1.993638463E-3;-1.024246216E-3
3.261523316E0;1.055037975E-2;5.432581529E-3;6.995201111E-3
3.279565369E0;1.262283325E-2;4.336709157E-3;-5.426406860E-4
3.297603088E0;1.548236609E-2;5.529723596E-3;1.334190369E-3
3.315644226E0;1.331919432E-2;3.968874924E-3;-1.283645630E-3
3.333682922E0;1.356953382E-2;6.743683945E-3;-1.717567444E-3
3.351722473E0;1.228433847E-2;6.654591300E-3;-6.580352783E-4
3.369762085E0;1.155012846E-2;7.475551218E-3;-3.946304321E-3
3.387797729E0;1.153987646E-2;5.367266014E-3;2.407073975E-3
3.405841491E0;1.058000326E-2;5.465987488E-4;-1.772880554E-3
3.423880920E0;9.838759899E-3;8.022324764E-4;-4.405975342E-4
3.441920716E0;6.448090076E-3;1.656649634E-3;-6.536483765E-3
3.459959839E0;7.357954979E-3;9.804551490E-3;-7.991790771E-4
3.477999328E0;8.889079094E-3;5.290005356E-3;1.179695129E-3
