"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.808350670E-1,-3.533815742E-1,-6.306648254E-3,1.686320305E-1
9.857789150E-1,-2.815726101E-1,4.405021667E-2,1.044292450E-1
9.907532800E-1,-3.450338840E-1,2.073669434E-2,2.767267227E-1
9.957276450E-1,-3.253394961E-1,-5.435657501E-2,1.878743172E-1
1.000702010E0,-3.577202260E-1,1.288509369E-2,1.824779510E-1
1.005676375E0,-4.182151854E-1,-4.072761536E-2,2.527909279E-1
1.010681258E0,-4.359032810E-1,1.945590973E-2,1.195731163E-1
1.015655623E0,-3.756159544E-1,1.067543030E-2,1.007652283E-1
1.020629989E0,-3.675542772E-1,-2.632141113E-2,1.010379791E-1
1.025604354E0,-3.451624811E-1,-1.339912415E-2,1.650834084E-1
1.030578719E0,-4.079123139E-1,-2.418899536E-2,5.627393723E-2
1.035553084E0,-3.853621781E-1,5.204200745E-3,1.513404846E-1
1.040527450E0,-4.717184901E-1,-1.149177551E-3,2.596645355E-1
1.045501815E0,-4.651928842E-1,-4.034042358E-4,1.663885117E-1
1.050476180E0,-3.616477549E-1,1.926326752E-2,1.255273819E-2
1.055450545E0,-3.600614369E-1,-8.441925049E-3,3.974437714E-3
1.060424911E0,-3.724706471E-1,4.175186157E-3,-1.037354469E-1
1.065399276E0,-3.282591701E-1,-9.356498718E-3,-1.020574570E-1
1.070373641E0,-4.309406281E-1,2.432060242E-2,-1.555490494E-2
1.075348006E0,-5.068349838E-1,-2.261829376E-2,-4.789829254E-2
1.080322372E0,-4.639720619E-1,3.992080688E-3,-1.531815529E-1
1.085296737E0,-4.142511487E-1,-7.352828979E-3,-1.489648819E-1
1.090271102E0,-3.907714188E-1,2.736091614E-3,-2.013225555E-1
1.095245467E0,-3.320080042E-1,3.340721130E-3,-9.739780426E-2
1.100250350E0,-2.668265104E-1,4.877471924E-2,-1.713929176E-1
1.105224715E0,-2.731783390E-1,1.832580566E-2,-1.007246971E-1
1.110260116E0,-3.715605438E-1,1.656150818E-2,-1.154885292E-1
1.115173446E0,-2.448382974E-1,-1.343727112E-2,-1.843252182E-1
1.120147811E0,-2.653662264E-1,-4.549503326E-2,-1.038155556E-1
1.125122176E0,-8.026936650E-2,3.134059906E-2,-1.655631065E-1
1.130096541E0,-1.209214628E-1,3.914070129E-2,-2.503285408E-1
1.135070907E0,2.768900990E-2,6.583976746E-2,-1.784949303E-1
1.140045272E0,5.161106586E-3,2.157783508E-2,-8.355522156E-2
1.145019637E0,1.580762863E-2,3.436183929E-2,-9.323740005E-2
1.149994002E0,-2.800250053E-2,-1.193046570E-2,-1.193017960E-1
1.154968368E0,-5.412697792E-4,3.637313843E-3,-4.116058350E-2
1.159942733E0,1.614175439E-1,4.753589630E-2,-3.432607651E-2
1.164917098E0,1.191876233E-1,2.508544922E-2,9.121894836E-4
1.169891463E0,1.056498885E-1,-1.602458954E-2,-6.559944153E-2
1.174865829E0,7.783192396E-2,1.162624359E-2,-1.433963776E-1
1.179840194E0,2.411579788E-1,6.493568420E-2,-1.781396866E-1
1.184814559E0,2.497530282E-1,5.400943756E-2,-8.992242813E-2
1.189819442E0,2.940338850E-1,1.717853546E-2,2.110767365E-2
1.194793807E0,3.662783206E-1,2.303600311E-2,7.914257050E-2
1.199768172E0,1.107924461E0,3.827381134E-1,-6.543235779E-1
1.204742538E0,-1.087085009E-1,-1.366415024E-1,-6.017923355E-2
