"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.758230603E0,1.452461630E-2,-4.050731659E-2,1.437058449E-1,1.500105897E-1
1.763204968E0,8.450111002E-2,-1.662635803E-2,1.141114235E-1,1.429625488E-1
1.768179334E0,1.224136353E-2,1.417732239E-2,6.356859207E-2,6.627075787E-2
1.773153699E0,2.798883617E-2,-6.382179260E-2,4.182338715E-2,8.127602275E-2
1.778128064E0,4.601115733E-2,-2.320289612E-2,3.906726837E-2,6.466569760E-2
1.783132947E0,2.609062940E-2,5.275726318E-3,5.993986130E-2,6.558461102E-2
1.788107312E0,4.883572459E-2,-3.017807007E-2,5.708456039E-2,8.095857549E-2
1.793081677E0,1.001672447E-2,-6.302833557E-3,1.014895439E-1,1.021772382E-1
1.798056043E0,4.471260682E-2,-1.563453674E-2,5.115270615E-2,6.971553122E-2
1.803030408E0,4.613688588E-2,-3.669166565E-2,6.733036041E-2,8.948892669E-2
1.808035291E0,4.763115942E-2,-5.620956421E-3,1.329712868E-1,1.413565902E-1
1.813009656E0,3.967366368E-2,1.578807831E-2,1.131353378E-1,1.209250498E-1
1.817984021E0,4.827242717E-2,3.972053528E-3,2.500820160E-2,5.451068319E-2
1.822958386E0,4.847235978E-3,-5.385398865E-3,7.216691971E-2,7.252973540E-2
1.827932752E0,3.262024373E-2,-1.702594757E-2,5.991888046E-2,7.031525743E-2
1.832907117E0,4.368345067E-2,-2.602577209E-3,7.609939575E-2,8.778459605E-2
1.837912000E0,2.394440770E-2,-8.201599121E-5,2.135467529E-2,3.208369592E-2
1.842886365E0,1.616978273E-2,-1.646804810E-2,4.968404770E-2,5.478287212E-2
1.847860730E0,5.094458163E-2,-4.454040527E-2,6.831026077E-2,9.615347017E-2
1.852835095E0,6.652583182E-2,-2.986907959E-2,6.320142746E-2,9.650009662E-2
1.857809461E0,3.005047143E-2,-2.002048492E-2,2.747297287E-2,4.537196147E-2
1.862783826E0,6.232098490E-2,-3.620052338E-2,6.524515152E-2,9.721786281E-2
1.867788709E0,3.762066364E-2,-1.681709290E-2,7.440328598E-2,8.505279485E-2
1.872763074E0,5.800000206E-2,-1.410007477E-2,1.269149780E-2,6.102365495E-2
1.877737439E0,6.878735125E-2,-6.684303284E-3,4.355525970E-2,8.169112712E-2
1.882711804E0,6.767651439E-2,2.191543579E-2,3.403234482E-2,7.885808405E-2
1.887686170E0,5.007626489E-2,7.786750793E-3,3.167057037E-2,5.976027795E-2
