"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
1.613954794E2;5.104835826E1;1.377316847E1;1.131126439E2;6.009456158E0;2.115701447E2;6.042480469E0;3.000000000E0
1.623955004E2;5.104831000E1;1.377311726E1;1.129601041E2;6.220802784E0;2.120664062E2;6.042235374E0;3.000000000E0
1.633955614E2;5.104825924E1;1.377306182E1;1.129606749E2;6.280720234E0;2.142359772E2;6.041996002E0;3.000000000E0
1.643955494E2;5.104821057E1;1.377301043E1;1.130410558E2;6.212615490E0;2.145899200E2;6.899008274E0;3.000000000E0
1.653955764E2;5.104816333E1;1.377296486E1;1.130402289E2;6.264613628E0;2.136821594E2;6.235731125E0;3.000000000E0
1.663955854E2;5.104811227E1;1.377291825E1;1.128403205E2;6.304391861E0;2.140710449E2;4.632347107E0;3.000000000E0
1.673956154E2;5.104806172E1;1.377287400E1;1.126443726E2;6.397167206E0;2.121803894E2;4.632462978E0;3.000000000E0
1.683956294E2;5.104801234E1;1.377282502E1;1.127561184E2;6.247642040E0;2.111464539E2;4.632578850E0;3.000000000E0
1.693956614E2;5.104796221E1;1.377277723E1;1.129253193E2;6.011946201E0;2.115311890E2;4.632695675E0;3.000000000E0
1.703956664E2;5.104791506E1;1.377272772E1;1.132604262E2;5.986904144E0;2.123234100E2;4.122972488E0;3.000000000E0
1.713956794E2;5.104786912E1;1.377268964E1;1.137107863E2;6.270747662E0;2.136160889E2;4.123001099E0;3.000000000E0
1.723956974E2;5.104782181E1;1.377264175E1;1.138714176E2;6.212551117E0;2.152030792E2;4.123029709E0;3.000000000E0
1.733957214E2;5.104777749E1;1.377259186E1;1.139484909E2;5.837016106E0;2.132833405E2;4.123057842E0;3.000000000E0
1.743957514E2;5.104773150E1;1.377254241E1;1.138427903E2;5.499788761E0;2.130068207E2;4.169506073E0;3.000000000E0
1.753957794E2;5.104768962E1;1.377249974E1;1.141200100E2;5.540742397E0;2.140131378E2;4.123114586E0;3.000000000E0
1.763957954E2;5.104764464E1;1.377244946E1;1.144569606E2;5.942924500E0;2.110674896E2;4.123142719E0;3.000000000E0
1.773958074E2;5.104759745E1;1.377240110E1;1.145133386E2;6.005179405E0;2.116233673E2;6.242702007E0;3.000000000E0
1.783958484E2;5.104755129E1;1.377235343E1;1.142968999E2;5.958366871E0;2.129249420E2;6.100908279E0;3.000000000E0
1.793958564E2;5.104750554E1;1.377231330E1;1.143815484E2;5.912329197E0;2.134791412E2;6.243858814E0;3.000000000E0
1.803958704E2;5.104744743E1;1.377227374E1;1.141673892E2;5.839353085E0;2.129024811E2;6.244450092E0;3.000000000E0
1.813958834E2;5.104739729E1;1.377222367E1;1.143159475E2;5.921433449E0;2.125354156E2;6.245036602E0;3.000000000E0
1.823959104E2;5.104735441E1;1.377217926E1;1.146268065E2;5.930850506E0;2.119619904E2;6.245608807E0;3.000000000E0
1.833959314E2;5.104731311E1;1.377213526E1;1.154534516E2;5.874995232E0;2.127920380E2;6.246184826E0;3.000000000E0
1.843960524E2;5.104726243E1;1.377209792E1;1.160255352E2;5.955107689E0;2.118688965E2;6.246768951E0;3.000000000E0
1.853959654E2;5.104721148E1;1.377205196E1;1.165985560E2;6.060742378E0;2.115597687E2;6.247351646E0;3.000000000E0
1.863959954E2;5.104715791E1;1.377200355E1;1.164720238E2;6.124296665E0;2.117490692E2;6.247930527E0;3.000000000E0
1.873961004E2;5.104710059E1;1.377195598E1;1.161166973E2;6.098286629E0;2.116946411E2;6.248505116E0;3.000000000E0
1.883960374E2;5.104704767E1;1.377190585E1;1.156867946E2;6.021305561E0;2.119539337E2;6.249091148E0;3.000000000E0
1.893960594E2;5.104699848E1;1.377185666E1;1.154541052E2;5.894169807E0;2.139028015E2;6.249670029E0;3.000000000E0
